'of he' | In regular: 95 | In spam: 51 | logProbRegular: -4.545867 | logProbSpam: -5.535635
'ieraioal projecs' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'projecs uder' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'he auspices\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'of ims' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ims ad' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'orgaizaios buildig' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'he kowledgebase' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'kowledgebase creaed' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'creaed by\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'hese early' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'early effors' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'effors read' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'by wil' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'wil thisse\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'new books' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'books jourals' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'the end' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'please do' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'his message\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'to unsubscribe' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'unsubscribe from' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ieee sysems' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'sysems ma' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ad cybereics' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'cybereics sociey\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'mailig lis' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'lis please' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'body which' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'which cosiss' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'cosiss oly' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'oly of\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'usubscribe smcmembers\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'are sedig' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'sedig he' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'email from' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'address oher' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'oher ha' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'he oe\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'which you' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'are subscribed' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'mus iclude' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'iclude he' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'email address\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'are usubscribig' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'usubscribig afer' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'afer smcmembers\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'jhniessikairugl tue' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'safairugl tue' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'fwd neurofederaio' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'coeype eplai' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'nwo vidis' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'vidis ad' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ad eurosciece\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'thiree eurosciece' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'eurosciece projecs' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'projecs were' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'were hoored' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'he nwo' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'verieuwigsimpuls program' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'program this' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'he oal' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'oal umber' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'umber of' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'hoored applicaios' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'all fields' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'fields the' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'the projecs' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'projecs are' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'are lised' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ews page' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'page hpwwweurofederaielews' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'hpwwweurofederaielews the' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'cograulaes hem' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'hem all' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'all wih' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'heir selecio\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'cells ad' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ad ep\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'the europea' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ep has' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'has voed' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'favor of' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'of ec' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'sposorig of' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'repair the' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'neurofederaio suppored' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'suppored he' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'duch lobby' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'his opic' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'see also' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'also hpwwweurofederaielews\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'he brai\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'framework of' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'week learig' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'scieific symposium' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'brai will' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'february ne' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'his symposium' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'symposium he' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'week will' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'will iclude' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'iviaioal coferece' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'coferece ad' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'public day' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'day the' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'the symposium' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'symposium is' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'is orgaized' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'he commiee' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'commiee learig' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'brai of' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'of zomw' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'zomw ad' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ad nwo' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'nwo the' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'the week' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'program is' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'is suppored' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'neurofederaio amog' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'amog oher' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'see flyer' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'flyer wih' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'wih regisraio' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'regisraio form' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'for programs' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'programs ha' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ha iegrae' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'iegrae cliical' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'cliical molecular' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'molecular compuaioal' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'compuaioal ad' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'cogiive eurosciece' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ieraioal graduae' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'graduae school' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'neurosciece igsn' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'he ruhr' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ruhr uiversiy' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'of bochum' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'bochum germay' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'projec \x91the' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'\x91the eurobiological' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'eurobiological uderpiigs' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'uderpiigs of' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'huma avoidace' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'behavior\x92 received' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'from secio' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'secio cliical' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'cliical ad' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ad healh' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'healh psychology' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'of leide' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'leide leide' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'leide nl\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'sude ad' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ad posdoc\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'projec groudig' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'groudig cocepual' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'cocepual kowledge' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'percepio ad' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'acio received' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'from diae' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'diae pecher' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'pecher psychology' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'psychology deparme' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'deparme erasmus' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'uiversiy roerdam' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'sude radiology\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'projec cocerig' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'he predicabiliy' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'predicabiliy of' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'of alzheimers' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'alzheimers disease' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'disease by' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'serial mri' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'mri scaig' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'scaig received' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'barkhof deparme' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'deparme radiology' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'vu medical' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'medical ceer' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ceer amserdam' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'aual ladislav' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ladislav tauc' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'tauc coferece' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'decodig ad' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ierfacig he' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'brai from' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'from neuroal' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'neuroal assemblies' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'cyborgs\x92 gif' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'gif sur' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'yvee frace' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'semiar deparme' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'neurosciece by' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'by richard' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'richard morris' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'morris dep' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'neurosciece ediburgh' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ediburgh uk' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'he hippocampus' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'hippocampus do' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ad how' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'neuroimagig by' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'by maija' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'maija pihlajamäki' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'pihlajamäki deparme' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ad neurology' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'neurology uiversiy' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'of kuopio' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'kuopio filad' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'he parahippocampal' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'parahippocampal regios' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'regios wih' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'wih implicaios' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'cogiive impairme' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'impairme amserdam' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'nih wier' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'coferece of' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'duch sociey' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'sociey for' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'for psychoomy' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'psychoomy egmod' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'aa zee' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'zee nl\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'neherlads ad' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'perspecive de' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'de haag' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'haag nl\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'symposium lear' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'brai leer' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'leer he' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'he brei' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'brei kee' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'vheiemamdcberlide tue' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'subjec fens' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'from december' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'uil january' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ca regiser' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'reduced fees' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'fees ad' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ad submi' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'forum of' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'neurosciece ha' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'the prelimiary' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'prelimiary programme' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'programme of' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'of wha' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'wha promises' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'eurosciece meeigs' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'meeigs ever' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'ever held' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'europe epecig' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'arac more' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'paricipas is' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'forum websie\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'sipeds hoel' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'hoel reservaio' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'reservaio saellie' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'saellie symposia' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'symposia ec' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'also available' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'he hot' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'hot spot' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'spot for' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'for euroscieiss\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'prof jose' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'jose casrolopes\n' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'fens is' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'he federaio' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'federaio of' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
'europea neurosciece' | In regular: 1 | In spam: 0 | logProbRegular: -9.099744 | logProbSpam: -11.197530
